CDS	County	District	School	EL	FEP	Reclass
01100170109835	Alameda	Alameda County Office of Education	FAME Public Charter	325	174	0
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	30	81	0
01100170118489	Alameda	Alameda County Office of Education	Aspire California College Preparatory Academy	124	104	29
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	37	2	0
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	9	58	0
01100170125567	Alameda	Alameda County Office of Education	Urban Montessori Charter	38	5	0
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	33	28	0
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	53	45	0
01100170130427	Alameda	Alameda County Office of Education	Alameda County Opportunity	24	16	0
01100176001788	Alameda	Alameda County Office of Education	Cox Academy	320	52	16
01100176002000	Alameda	Alameda County Office of Education	Lazear Charter Academy	206	51	4
01100176106751	Alameda	Alameda County Office of Education	Alameda County Special Education	0	0	0
01611190106401	Alameda	Alameda Unified	Alameda Science and Technology Institute	8	89	3
01611190111765	Alameda	Alameda Unified	Ruby Bridges Elementary	207	45	37
01611190119222	Alameda	Alameda Unified	Nea Community Learning Center	76	15	0
01611190122085	Alameda	Alameda Unified	Academy of Alameda	84	91	13
01611190126656	Alameda	Alameda Unified	Maya Lin	115	23	6
01611190130229	Alameda	Alameda Unified	Alameda High	199	563	70
01611190130609	Alameda	Alameda Unified	Alameda Community Learning Center	29	31	0
01611190130625	Alameda	Alameda Unified	Bay Area School of Enterprise	117	7	0
01611190132878	Alameda	Alameda Unified	Encinal High	230	297	57
01611190134304	Alameda	Alameda Unified	Island High (Continuation)	27	31	8
01611196090005	Alameda	Alameda Unified	Donald D. Lum Elementary	173	52	30
01611196090013	Alameda	Alameda Unified	Edison Elementary	51	20	5
01611196090021	Alameda	Alameda Unified	Frank Otis Elementary	105	33	22
01611196090039	Alameda	Alameda Unified	Franklin Elementary	36	23	15
01611196090047	Alameda	Alameda Unified	Henry Haight Elementary	163	31	22
01611196090054	Alameda	Alameda Unified	Lincoln Middle	92	262	34
01611196090104	Alameda	Alameda Unified	Washington Elementary	0	0	10
01611196090112	Alameda	Alameda Unified	Will C. Wood Middle	154	115	16
01611196090120	Alameda	Alameda Unified	William G. Paden Elementary	104	25	17
01611196100374	Alameda	Alameda Unified	Amelia Earhart Elementary	116	44	18
01611196110779	Alameda	Alameda Unified	Bay Farm Elementary	89	61	18
01611270126631	Alameda	Albany City Unified	Albany Children's Center	12	0	0
01611270130294	Alameda	Albany City Unified	MacGregor High (Continuation)	1	1	0
01611270130450	Alameda	Albany City Unified	Albany High	128	265	8
01611276090146	Alameda	Albany City Unified	Cornell Elementary	142	48	18
01611276090161	Alameda	Albany City Unified	Albany Middle	108	199	15
01611276095376	Alameda	Albany City Unified	Marin Elementary	108	20	4
01611276116222	Alameda	Albany City Unified	Ocean View Elementary	290	49	19
01611430000001	Alameda	Berkeley Unified	Nonpublic, Nonsectarian Schools	0	1	0
01611430122689	Alameda	Berkeley Unified	REALM Charter Middle	108	3	0
01611430122697	Alameda	Berkeley Unified	REALM Charter High	86	6	0
01611430122804	Alameda	Berkeley Unified	Berkeley Special Education Preschool	0	0	0
01611430131177	Alameda	Berkeley Unified	Berkeley High	202	609	42
01611430134924	Alameda	Berkeley Unified	Berkeley Technology Academy	14	13	1
01611436056857	Alameda	Berkeley Unified	Martin Luther King Middle	72	158	19
01611436056865	Alameda	Berkeley Unified	Willard Middle	34	102	19
01611436090187	Alameda	Berkeley Unified	Rosa Parks Environmental Science Magnet	74	57	16
01611436090195	Alameda	Berkeley Unified	Cragmont Elementary	65	66	10
01611436090211	Alameda	Berkeley Unified	Emerson Elementary	31	29	6
01611436090252	Alameda	Berkeley Unified	Jefferson Elementary	33	26	4
01611436090278	Alameda	Berkeley Unified	Leconte Elementary	81	52	7
01611436090286	Alameda	Berkeley Unified	Malcolm X Elementary	47	27	11
01611436090294	Alameda	Berkeley Unified	Longfellow Arts and Technology Middle	41	128	35
01611436090302	Alameda	Berkeley Unified	Oxford Elementary	35	21	4
01611436090310	Alameda	Berkeley Unified	Thousand Oaks Elementary	111	77	15
01611436090328	Alameda	Berkeley Unified	Washington Elementary	57	36	5
01611436097729	Alameda	Berkeley Unified	Berkeley Arts Magnet at Whittier	53	33	6
01611436105316	Alameda	Berkeley Unified	John Muir Elementary	40	16	3
01611500000001	Alameda	Castro Valley Unified	Nonpublic, Nonsectarian Schools	2	0	0
01611500130047	Alameda	Castro Valley Unified	Roy A. Johnson High	0	1	0
01611500132225	Alameda	Castro Valley Unified	Castro Valley High	103	812	22
01611500135533	Alameda	Castro Valley Unified	Redwood Continuation High	4	20	3
01611506090351	Alameda	Castro Valley Unified	Castro Valley Elementary	110	39	16
01611506090369	Alameda	Castro Valley Unified	Chabot Elementary	49	42	13
01611506090385	Alameda	Castro Valley Unified	Creekside Middle	22	191	12
01611506090393	Alameda	Castro Valley Unified	Independent Elementary	44	54	10
01611506090401	Alameda	Castro Valley Unified	Marshall Elementary	73	36	12
01611506090419	Alameda	Castro Valley Unified	Palomares Elementary	12	18	3
01611506090435	Alameda	Castro Valley Unified	Proctor Elementary	64	61	14
01611506090468	Alameda	Castro Valley Unified	Stanton Elementary	88	49	14
01611506090484	Alameda	Castro Valley Unified	Vannoy Elementary	53	43	10
01611506097653	Alameda	Castro Valley Unified	Canyon Middle	70	309	20
01611506113005	Alameda	Castro Valley Unified	Jensen Ranch Elementary	41	82	22
